ID;REGIAO;MUNICIPIO/BAIRRO;OPM ;RISP;AISP;COORPIN
106;Capital;Nordeste de Amaralina;40ª CIPM - Nordeste de Amaralina;Atlântico;15 - Nordeste de Amaralina;DEPOM
107;Capital;Nova Brasília;50ª CIPM - Sete de Abril;Central;10 - Pau da Lima;DEPOM
108;Capital;Nova Constituinte;18ª CIPM - Periperi;BTS;05 - Periperi;DEPOM
109;Capital;Nova Esperança;49ª CIPM - São Cristóvão;Atlântico;12 - Itapuã;DEPOM
110;Capital;Nova Sussuarana;48ª CIPM - Sussuarana;Central;11 - Tancredo Neves;DEPOM
111;Capital;Novo Horizonte;48ª CIPM - Sussuarana;Central;11 - Tancredo Neves;DEPOM
112;Capital;Novo Marotinho;50ª CIPM - Sete de Abril;Central;10 - Pau da Lima;DEPOM
113;Capital;Ondina;12ª CIPM - Rio Vermelho;Atlântico;07 - Rio Vermelho;DEPOM
114;Capital;Palestina;31ª CIPM - Valéria;BTS;08 - CIA;DEPOM
115;Capital;Paripe;19ª CIPM - Paripe;BTS;05 - Periperi;DEPOM
116;Capital;Patamares;15ª CIPM - Itapuã;Atlântico;12 - Itapuã;DEPOM
117;Capital;Pau da Lima;47ª CIPM - Pau da Lima;Central;10 - Pau da Lima;DEPOM
118;Capital;Pau Miúdo;37ª CIPM - Liberdade;BTS;02 - Liberdade;DEPOM
119;Capital;Periperi;18ª CIPM - Periperi;BTS;05 - Periperi;DEPOM
120;Capital;Pernambués;1ª CIPM - Pernambués;Central;11 - Tancredo Neves;DEPOM
121;Capital;Pero Vaz;37ª CIPM - Liberdade;BTS;02 - Liberdade;DEPOM
122;Capital;Piatã;15ª CIPM - Itapuã;Atlântico;12 - Itapuã;DEPOM
123;Capital;Pirajá;9ª CIPM - Pirajá;BTS;04 - São Caetano;DEPOM
124;Capital;Pituaçu;39ª CIPM - Boca do Rio;Atlântico;09 - Boca do Rio;DEPOM
125;Capital;Pituba;13ª CIPM - Pituba;Atlântico;16 - Pituba;DEPOM
126;Capital;Plataforma;14ª CIPM - Lobato;BTS;05 - Periperi;DEPOM
127;Capital;Porto Seco Pirajá;47ª CIPM - Pau da Lima;Central;10 - Pau da Lima;DEPOM
128;Capital;Praia Grande;18ª CIPM - Periperi;BTS;05 - Periperi;DEPOM
129;Capital;Resgate;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves;DEPOM
130;Capital;Retiro;9ª CIPM - Pirajá;BTS;04 - São Caetano;DEPOM
131;Capital;Ribeira;17ª CIPM - Uruguai;BTS;03 - Bonfim;DEPOM
132;Capital;Rio Sena;18ª CIPM - Periperi;BTS;05 - Periperi;DEPOM
133;Capital;Rio Vermelho;12ª CIPM - Rio Vermelho;Atlântico;07 - Rio Vermelho;DEPOM
134;Capital;Roma;17ª CIPM - Uruguai;BTS;03 - Bonfim;DEPOM
135;Capital;Saboeiro;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves;DEPOM
136;Capital;Santa Cruz;40ª CIPM - Nordeste de Amaralina;Atlântico;15 - Nordeste de Amaralina;DEPOM
137;Capital;Santa Luzia;16ª CIPM - Comércio;BTS;03 - Bonfim;DEPOM
138;Capital;Santa Mônica;37ª CIPM - Liberdade;BTS;02 - Liberdade;DEPOM
139;Capital;Santo Agostinho;58ª CIPM - Cosme de Farias;Atlântico;06 - Brotas;DEPOM
140;Capital;Santo Antônio;18º BPM - Centro Histórico;BTS;01 - Barris;DEPOM
141;Capital;São Caetano;9ª CIPM - Pirajá;BTS;04 - São Caetano;DEPOM
142;Capital;São Cristóvão;49ª CIPM - São Cristóvão;Atlântico;12 - Itapuã;DEPOM
143;Capital;São Gonçalo;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves;DEPOM
144;Capital;São João do Cabrito;14ª CIPM - Lobato;BTS;05 - Periperi;DEPOM
145;Capital;São Marcos;47ª CIPM - Pau da Lima;Central;10 - Pau da Lima;DEPOM
146;Capital;São Rafael;50ª CIPM - Sete de Abril;Central;10 - Pau da Lima;DEPOM
147;Capital;São Tomé;19ª CIPM - Paripe;BTS;05 - Periperi;DEPOM
148;Capital;Saramandaia;1ª CIPM - Pernambués;Central;11 - Tancredo Neves;DEPOM
149;Capital;Saúde;2ª CIPM - Barbalho;BTS;01 - Barris;DEPOM
150;Capital;Sete de Abril;50ª CIPM - Sete de Abril;Central;10 - Pau da Lima;DEPOM
151;Capital;Stella Maris;15ª CIPM - Itapuã;Atlântico;12 - Itapuã;DEPOM
152;Capital;STIEP;39ª CIPM - Boca do Rio;Atlântico;09 - Boca do Rio;DEPOM
153;Capital;Sussuarana;48ª CIPM - Sussuarana;Central;11 - Tancredo Neves;DEPOM
154;Capital;Tororó;2ª CIPM - Barbalho;BTS;01 - Barris;DEPOM
155;Capital;Trobogy;50ª CIPM - Sete de Abril;Central;10 - Pau da Lima;DEPOM
156;Capital;Uruguai;17ª CIPM - Uruguai;BTS;03 - Bonfim;DEPOM
157;Capital;Vale das Pedrinhas;40ª CIPM - Nordeste de Amaralina;Atlântico;15 - Nordeste de Amaralina;DEPOM
158;Capital;Vale dos Lagos;50ª CIPM - Sete de Abril;Central;10 - Pau da Lima;DEPOM
159;Capital;Valéria;31ª CIPM - Valéria;BTS;08 - CIA;DEPOM
160;Capital;Vila Canária;47ª CIPM - Pau da Lima;Central;10 - Pau da Lima;DEPOM
161;Capital;Vila Laura;58ª CIPM - Cosme de Farias;Atlântico;06 - Brotas;DEPOM
162;Capital;Vila Ruy Barbosa/Jardim Cruzeiro;17ª CIPM - Uruguai;BTS;03 - Bonfim;DEPOM
163;Capital;Vitória;11ª CIPM - Barra;Atlântico;14 - Barra;DEPOM
11058;Capital;Paralela Trecho Bairro da Paz;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11059;Capital;Paralela Trecho Cabula;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11060;Capital;Paralela Trecho Canabrava;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11061;Capital;Paralela Trecho Centro Administrativo da Bahia;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11062;Capital;Paralela Trecho Imbuí;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11063;Capital;Paralela Trecho Itapuã;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11064;Capital;Paralela Trecho Mussurunga;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11065;Capital;Paralela Trecho Narandiba;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11066;Capital;Paralela Trecho Patamares;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11067;Capital;Paralela Trecho Piatã;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11068;Capital;Paralela Trecho Pituaçu;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11069;Capital;Paralela Trecho Saboeiro;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11070;Capital;Paralela Trecho São Cristóvão;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11071;Capital;Paralela Trecho São Rafael;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11072;Capital;Paralela Trecho Trobogy;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
11073;Capital;Paralela Trecho Vale dos Lagos;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
30353;Capital;Dois de Julho;18º BPM - Centro Histórico;BTS;01 - Barris;DEPOM
30354;Capital;Ilha Amarela;14ª CIPM - Lobato;BTS;05 - Periperi;DEPOM
30355;Capital;Horto Florestal;26ª CIPM - Brotas;Atlântico;06 - Brotas;DEPOM
